td_date,portfolio_bond_mean,portfolio,total_25,total_50,total_75,total
2017-02-28,89.30449999999999,2.7725186093426273,18.8175,30.085,44.47,2.6134603888816166
2017-03-31,89.30449999999999,2.7725186093426273,18.8175,30.085,44.47,2.6134603888816166
2017-04-28,93.86449999999999,2.8353122108156126,24.22,33.92,47.29,2.6152790015582017
2017-05-31,93.86449999999999,2.8353122108156126,24.22,33.92,47.29,2.6152790015582017
2017-06-30,93.86449999999999,2.8353122108156126,24.22,33.92,47.29,2.6152790015582017
2017-07-31,92.21400000000001,2.6788738726588472,25.685000000000002,36.599999999999994,49.76,2.615381104151382
2017-08-31,92.21400000000001,2.6788738726588472,25.6,36.58,49.76,2.6157752995916717
2017-09-29,92.21400000000001,2.6788738726588472,25.685000000000002,36.599999999999994,49.76,2.615578201871527
2017-10-31,95.65849999999998,2.6182159645075314,32.22,42.36,55.26,2.6161640744490455
2017-11-30,95.65849999999998,2.6182159645075314,32.22,42.36,55.26,2.6161640744490455
2017-12-29,95.65849999999998,2.6182159645075314,32.22,42.379999999999995,55.26,2.6161640744490455
2018-01-31,94.59850000000002,2.7568088878472126,32.595,43.86,55.425,2.615578201871527
2018-02-28,94.59850000000002,2.7568088878472126,32.595,43.86,55.425,2.615578201871527
2018-03-30,94.59850000000002,2.7568088878472126,31.98,43.77,55.3,2.615578201871527
2018-04-27,94.49550000000002,2.572276510952914,36.74,48.1,60.305,2.6157752995916717
2018-05-31,94.49550000000002,2.572276510952914,37.0175,48.1,60.305,2.6157752995916717
2018-06-29,94.49550000000002,2.572276510952914,37.11,48.14,60.335,2.6157752995916717
2018-07-31,95.83800000000001,2.7458396434098344,39.9675,50.59,63.105,2.6157752995916717
2018-08-31,95.83800000000001,2.7458396434098353,40.6,51.46,63.269999999999996,2.6157752995916717
2018-09-28,95.83800000000001,2.7458396434098344,40.6,51.46,63.55,2.6157752995916717
2018-10-31,93.994,2.678696936954799,37.295,50.65,63.760000000000005,2.6157752995916717
2018-11-30,93.994,2.678696936954799,37.44,50.65,63.9,2.6157752995916717
2018-12-28,93.994,2.678696936954799,37.6725,50.825,64.0425,2.6157752995916717
2019-01-31,97.27000000000001,2.610199983179702,39.755,52.95,66.5425,2.6157752995916717
2019-02-28,97.27000000000001,2.610199983179702,39.755,53.47,66.5425,2.6157752995916717
2019-03-29,97.27000000000001,2.610199983179702,39.755,52.95,66.5425,2.6157752995916717
2019-04-30,95.55649999999999,2.867067933546692,39.1025,49.73,62.48,2.6157752995916717
2019-05-31,95.55649999999999,2.867067933546692,39.1025,49.7,62.48,2.6157752995916717
2019-06-28,95.55649999999999,2.867067933546692,38.864999999999995,49.73,62.48,2.6157752995916717
2019-07-31,,,,,,
