ra_code,ra_name
003335,中融融信双盈债券C
002689,红塔红土长益债券C
003410,景顺长城景颐盛利债券C
002712,广发集丰债券C
003472,前海联合添鑫债券C
003181,前海联合添利债券C
002737,泓德裕和纯债债券C
002793,景顺长城顺益回报混合C
003370,招商招庆纯债债券C
002743,泓德裕祥债券C
003455,招商招通纯债债券C
003512,申万菱信安鑫优选混合C
003212,广发集安债券C
003511,长盛可转债债券C
003320,建信瑞丰添利混合C
003426,江信添福债券C
003453,招商招盛纯债债券C
003270,招商招乾纯债债券C
003372,招商招轩纯债债券C
519777,交银裕盈纯债债券C
003124,天治鑫利半年定开债券C
003302,华夏鼎融债券C
002827,融通稳利债券C
003505,景顺长城景颐丰利债券C
003665,新沃通利纯债债券C
003615,信诚景瑞债券C
519329,浦银安盛盛泰纯债债券C
003619,招商招旺纯债债券C
003602,申万菱信安鑫精选混合C
003439,招商招怡纯债债券C
003151,中欧睿诚定期开放混合C
003613,南方卓元债券C
675083,西部利得祥盈债券C
003038,广发集瑞债券C
003669,东方红益鑫纯债债券C
002841,九泰久鑫债券C
003732,长安泓泽纯债债券C
519787,交银裕利纯债债券C
002460,华夏鼎利债券C
003523,万家鑫通纯债债券C
003643,工银国债纯债债券C
002962,中欧双利债券C
003768,泰达宏利纯利债券C
003521,万家鑫稳纯债债券C
003773,国联安鑫盛混合C
003812,中金金利债券C
003838,东方臻享纯债债券C
519783,交银裕隆纯债债券C
003825,天弘信利债券C
003499,前海联合添和纯债C
002926,广发集源债券C
003653,招商招泰6个月定开债券C
003878,富国久利稳健配置混合C
003815,银华上证10年期国债指数C
003827,华夏鼎汇债券C
003818,银华上证5年期国债指数C
003709,博时民丰纯债债券C
003930,中银证券安进债券C
003909,万家家泰债券C
003779,上投摩根安瑞回报混合C
003084,中融1-3年高等级信用债C
003080,中融3-5年中高等级信用债C
003775,国联安鑫利混合C
003903,德邦锐璟债券C
003127,长信纯债半年定开债券C
003307,民生加银鑫益债券C
003638,安信永鑫定开债券C
003911,万家家盛债券C
003110,光大保德信安和债券C
519333,浦银安盛盛达纯债债券C
003040,广发集富纯债C
003796,方正富邦睿利纯债C
003408,景顺长城景泰丰利纯债C
003558,博时泰安债券C
675093,西部利得祥逸债券C
003860,招商招旭纯债C
003788,方正富邦惠利纯债C
003449,招商招华纯债C
004090,汇添富鑫瑞债券C
004080,万家鑫丰纯债债券C
003584,建信稳定鑫利债券C
003010,中融盈泽债券C
004028,广发景源纯债C
003992,富国富利稳健配置混合C
003082,中融1-3年中高等级信用债C
003361,前海开源瑞和债券C
004109,信诚稳泰债券C
002587,金鹰添利信用债债券C
003086,中融0-1年中高等级信用债C
003012,中融盈润债券C
003014,中融恒泰纯债C
004053,华夏鼎智债券C
004103,信诚稳悦债券C
004177,平安大华惠裕债券C
004107,信诚稳丰债券C
004086,工银国债(7-10年)指数C
004105,信诚稳鑫债券C
004181,南方宏元债券C
164822,工银政府债纯债债券(LOF)C
003108,光大保德信安祺债券C
003090,中融恒瑞纯债C
004220,长信纯债壹号债券C
004147,上投摩根安泽回报混合C
004145,上投摩根安丰回报混合C
003196,光大保德信永利债券C
004247,德邦锐乾债券C
004226,国寿安保稳诚混合C
003794,泰达宏利溢利债券C
004002,泰达宏利恒利债券C
004062,华夏鼎隆债券C
004259,国寿安保稳嘉混合C
675123,西部利得汇逸债券C
003198,光大保德信安诚债券C
004280,国寿安保稳荣混合C
003723,华润元大双鑫债券C
003979,中信建投稳祥债券C
003748,万家鑫享纯债债券C
675113,西部利得汇享债券C
004269,中信建投睿康混合C
004367,博时汇享纯债债券C
003577,招商招弘纯债C
004130,国联安鑫汇混合C
004132,国联安鑫发混合C
004082,国联安鑫乾混合C
004327,国联安鑫怡混合C
004084,国联安鑫隆混合C
003977,中信建投稳惠债券C
004384,平安大华添益债券C
004401,金信民兴债券C
004319,国寿安保尊裕优化回报债C
003459,嘉实稳宏债券C
004302,国寿安保稳信混合C
004364,东方臻悦纯债债券C
004043,华夏鼎茂债券C
004455,中欧康裕混合C
003533,汇添富鑫利债券C
003451,招商招信纯债C
003421,德邦群利债券C
004465,万家玖盛债券C
004362,上投摩根安通回报混合C
004470,汇添富鑫益定开债C
519331,浦银安盛盛跃纯债债券C
003441,招商招享纯债C
004055,华夏鼎实债券C
519335,浦银安盛盛勤纯债债券C
001969,光大尊盈半年债券发起式C
002277,中邮纯债恒利债券C
003990,银华中债5年期金融债指数C
003988,银华中债10年金融债指数C
004512,海富通富睿混合C
004548,中银中高等级债券C
003542,财通纯债债券C
003204,财通收益增强债券C
003205,财通多策略稳健增长债券C
003129,景顺长城景盈汇利债券C
004428,交银增利增强债券C
004228,泰信鑫利混合C
167704,德邦德信中高企债指数C
004468,建信瑞福添利混合C
004556,南方和元债券C
001989,南方纯元债券C
004586,鹏扬汇利债券C
004615,鹏扬利泽债券C
004529,长盛盛通纯债债券C
004711,交银丰泽收益债券C
003933,银华中证5年政府债指数C
