,td_date
625,2002-03-05
626,2002-03-06
627,2002-03-07
628,2002-03-12
629,2002-03-13
630,2002-03-14
631,2002-03-19
632,2002-03-20
633,2002-03-21
634,2002-03-26
635,2002-03-27
636,2002-03-28
637,2002-04-02
638,2002-04-03
639,2002-04-04
640,2002-04-09
641,2002-04-10
642,2002-04-11
643,2002-04-16
644,2002-04-17
645,2002-04-18
646,2002-04-23
647,2002-04-24
648,2002-04-25
649,2002-05-09
650,2002-05-14
651,2002-05-15
652,2002-05-16
653,2002-05-21
654,2002-05-22
655,2002-05-23
656,2002-05-28
657,2002-05-29
658,2002-05-30
659,2002-06-04
660,2002-06-05
661,2002-06-06
662,2002-06-11
663,2002-06-12
664,2002-06-13
665,2002-06-18
666,2002-06-19
667,2002-06-20
668,2002-06-25
669,2002-06-26
670,2002-06-27
671,2002-07-02
672,2002-07-03
673,2002-07-04
674,2002-07-09
675,2002-07-10
676,2002-07-11
677,2002-07-16
678,2002-07-17
679,2002-07-18
680,2002-07-23
681,2002-07-24
682,2002-07-25
683,2002-07-30
684,2002-08-06
685,2002-08-07
686,2002-08-08
687,2002-08-13
688,2002-08-14
689,2002-08-15
690,2002-08-20
691,2002-08-21
692,2002-08-22
693,2002-08-27
694,2002-08-28
695,2002-08-29
696,2002-09-03
697,2002-09-04
698,2002-09-05
699,2002-09-10
700,2002-09-11
701,2002-09-12
702,2002-09-17
703,2002-09-18
704,2002-09-19
705,2002-09-24
706,2002-09-25
707,2002-09-26
708,2002-10-09
709,2002-10-10
710,2002-10-15
711,2002-10-16
712,2002-10-17
713,2002-10-22
714,2002-10-23
715,2002-10-24
716,2002-10-29
717,2002-10-30
718,2002-11-05
719,2002-11-06
720,2002-11-07
721,2002-11-12
722,2002-11-13
723,2002-11-14
724,2002-11-19
725,2002-11-20
726,2002-11-21
727,2002-11-26
728,2002-11-27
729,2002-11-28
730,2002-12-03
731,2002-12-04
732,2002-12-05
733,2002-12-10
734,2002-12-11
735,2002-12-12
736,2002-12-17
737,2002-12-18
738,2002-12-19
739,2002-12-24
740,2002-12-25
741,2002-12-26
742,2003-01-07
743,2003-01-08
744,2003-01-09
745,2003-01-14
746,2003-01-15
747,2003-01-16
748,2003-01-21
749,2003-01-22
750,2003-01-23
751,2003-01-28
752,2003-02-11
753,2003-02-12
754,2003-02-13
755,2003-02-18
756,2003-02-19
757,2003-02-20
758,2003-02-25
759,2003-02-26
760,2003-02-27
761,2003-03-04
762,2003-03-05
763,2003-03-06
764,2003-03-11
765,2003-03-12
766,2003-03-13
767,2003-03-18
768,2003-03-19
769,2003-03-20
770,2003-03-25
771,2003-03-26
772,2003-03-27
773,2003-04-02
774,2003-04-03
775,2003-04-08
776,2003-04-09
777,2003-04-10
778,2003-04-15
779,2003-04-16
780,2003-04-17
781,2003-04-22
782,2003-04-23
783,2003-04-24
784,2003-04-29
785,2003-05-13
786,2003-05-14
787,2003-05-15
788,2003-05-20
789,2003-05-21
790,2003-05-22
791,2003-05-27
792,2003-05-28
793,2003-05-29
794,2003-06-03
795,2003-06-04
796,2003-06-05
797,2003-06-10
798,2003-06-11
799,2003-06-12
800,2003-06-17
801,2003-06-18
802,2003-06-19
803,2003-06-24
804,2003-06-25
805,2003-06-26
806,2003-07-02
807,2003-07-03
808,2003-07-08
809,2003-07-09
810,2003-07-10
811,2003-07-15
812,2003-07-16
813,2003-07-17
814,2003-07-22
815,2003-07-23
816,2003-07-24
817,2003-07-29
818,2003-07-30
819,2003-08-05
820,2003-08-06
821,2003-08-07
822,2003-08-12
823,2003-08-13
824,2003-08-14
825,2003-08-19
826,2003-08-20
827,2003-08-21
828,2003-08-26
829,2003-08-27
830,2003-08-28
831,2003-09-02
832,2003-09-03
833,2003-09-04
834,2003-09-09
835,2003-09-10
836,2003-09-11
837,2003-09-16
838,2003-09-17
839,2003-09-18
840,2003-09-23
841,2003-09-24
842,2003-09-25
843,2003-10-09
844,2003-10-14
845,2003-10-15
